Token,SHAP_Score
for ,1.5036719117197208
says ,0.721441089528768
and ,0.45529155421536416
after ,0.36422663589473814
slam,0.3489886319730431
down,0.32458454242441803
tells ,0.274003095459193
Bharat ,0.26886399276554585
with ,0.26698528707493097
year,0.26659166533499956
crisis,0.26479018677491695
get ,0.24426475609652698
over ,0.2197277852683328
elect ,0.21874565770849586
assure,0.19895044260192662
massive ,0.195893568219617
leave,0.1921711815521121
away,0.1908632037229836
leader,0.18672785256057978
world,0.18661202024668455
against ,0.18258720845915377
lock,0.18229498306754977
red ,0.1804332674946636
will ,0.1795498973224312
response ,0.17867047106847167
likely ,0.17346085980534554
Know ,0.17290368769317865
Assam ,0.1671753698028624
lau,0.16594923450611532
old ,0.16055703535676003
